uid,whisper_transcripts,gt_transcripts
9d58583c-20de-439d-b1cd-9c2265bdedd8, What's...," what 
"
4a506707-52ea-493e-98c4-f667e3222d44," Pretty shit, to be honest."," pretty shit to be honest 
"
0b67f942-6ebf-403d-aff0-f4e5d62d3140, good morning and alms together," oh when you nail them together they won't be as hard right 
"
c237c6d5-f413-4e25-82e2-af7b408d390a," Not necessarily, because if they're warped right now you're going to nail them into a warped position."," no not necessary cuz if they're warped right now you're going to nail them into a warped position 
"
22a8a78a-caea-4aa2-be9c-4e02e0d88009, that can reflect this," stand them all down flat 
"
57397c2f-a7c2-4914-bc64-8da1ed2e7e6a, right now.," right now 
"
caefe8cf-5a8b-4225-ab40-97d1e061b982," when no one's there, it'll never know."," no what's our only 
"
7ed46c20-18e8-45fa-9045-6aad37e3df28, Maybe.," maybe 
"
caef5df1-11aa-4241-96c4-38cb2b0837f2, Let's do it in shoe for zipkins!," i mean if we just do it in two positions 
"
4bda3aea-be17-4f69-9c5e-93756a0a655a, It's harder to get them.," it's harder to get done 
"
dcf5bfb3-74de-495f-a112-fbf496005651, The best good thing in health is that I would all get more therapy.," is the biscuit thing up cuz then it might hold it in more position 
"
7e0b3ee2-a079-4cb7-b6aa-2a2a7ed22734, Now.," no 
"
8bdcc17f-123e-47dc-9f3e-7d1db12a3c0c, You," no 
"
6f5f1b03-cfc3-4efa-a276-f7758ac0bef0," We're not doing the biscuit, you know. It's redundant."," we're not doing the biscuit it's redundant 
"
37547932-54fa-4d03-8ceb-35cfba38ded1," If you want to get it done today, then we're not doing the biscuit trim."," if you want to get it done today then we're not doing the biscuit 
"
81635abf-9aee-4603-be0f-8c2b37b2c8ee, I mean we do something for that.," can we do something that 
"
05b04457-5e77-4848-a956-64f8242a7500," So just, we need to rearrange and play with the boards to figure out which orientations are that."," so just we need to rearrange and play with the boards to figure out what orientation is the best 
"
95b3d10e-2269-4613-ad48-33ce1e7649af, This will probably be the front side.," this'll probably be the front side 
"
a4033601-48cc-4b05-a81b-2475bfe5a64f, Anything towards the back with seams is less likely to be seen.," anything towards the back will seem is less likely to the seen 
"
c77bdc32-6065-4da9-aada-80fe7697ff5d,," alright 
"
ee438517-6423-4925-b395-2b2b94c88754, Is there anywhere?," is there anyway
"
d162319f-ae9b-4812-8eb1-e1b15971466b, I wanna fetch. I wanna fetch! Back-e- forced out Ascendant!," they're a different thing i should 
"
a1504c6b-2048-4ecd-8fad-e992a133d708, That one I guess? I don't know.," that one i guess i don't know 
"
debfbd96-d973-4102-92c0-0144bd650604, out of the corridor.," uh the cord right there 
"
9df79205-7eb3-49b3-94d2-69b474e5482a, Yeah.," yeah 
"
a5497f4c-7a63-4f95-9b3d-4e0332052561, Right on.," how you doing 
"
0fc4a693-2ba5-419b-83cc-51d5e70b75b9, Nip-pah! Nip-pah! Hey!," do you have to do that inside 
"
0e30b577-3c5a-43c8-ba81-100a6a0d6308, What's up to you?," it's up to you 
"
8a34b2eb-8e22-4717-8c47-8e5e5eb59a37," I think I'll talk to you about them, but I can see how they look right by side with pliers. Maybe we all have to do the other stuff."," the bottom but if check and see how they look side-by-side width-wise maybe we don't have to do the other side 
"
c0cc5433-5dcd-48f9-ad50-7019a9bcbc00," Well then, cheers."," well then check 
"
c6f95132-e381-40e1-a54a-e95a1f649513, Are you exceptional ?," turn that off 
"
de8ffe15-1e09-41b2-b502-e8fd7e100497," Well, nothing."," well hey 
"
4e02a38a-d438-41fb-9126-75e89e857881, trying to make it so you'll have to do this again.," trying to make it so you don't have to do this again 
"
2b3251c5-d257-4799-9b99-332469f745d2, Bye!," alright 
"
33799903-48a0-4355-9086-52b5ffedf7d8,," hm 
"
a8a39ee2-c7f7-4cb6-a7dd-4fa47ce19322, I don't know how amazing.," you know what you're amazing 
"
8e408cbc-7474-4c30-8599-d0c7a34d3865,en," i know you just don't appreciate it sometimes 
"
5b88c9a1-b766-462a-8972-9484167222c9," So like this one seems thicker, so maybe we just do that. Bye guys."," so like this one seems so maybe we just do that one well i guess 
"
b328a22b-88a9-430c-b496-7279a3c08c94, It's cuz it works.," it's cuz 
"
1a04be0d-647e-4564-add2-5819e5d5fd26, I think they're fine.," i think they're fine 
"
f6a282c4-354e-46e1-b7a1-caad6d75f6a4, They're not going to be perfect. Boards aren't perfect.," they're not going to be perfect boards aren't perfect 
"
1a71ec06-8cd6-4e8e-b1aa-d1972a0c1dad," You can always, when it's bolted together too, use the belt sander and try and finish out the edges."," we can always when it's bolted together too use the belt sander and try and finish out the edges 
"
88500e12-40b2-472f-ad27-1e9f65f3f2db, And make it else.," right then i guess 
"
91756e19-0cf1-4d2b-8b67-d270a86d657e, I think that's going to be our best bet at this point.," think that's gonna be your best bet at this point 
"
03d74625-7a99-4b8b-8a47-91633ff60d51, Thank you.," hmm 
"
